,open,high,low,close
2016-11-03,1.23017,1.24945,1.2295,1.24644
2016-11-04,1.24646,1.25572,1.24474,1.25139
2016-11-07,1.24686,1.24976,1.2374,1.23954
2016-11-08,1.23953,1.24399,1.2356,1.2368
2016-11-09,1.23683,1.25472,1.2348,1.24162
2016-11-10,1.24162,1.25845,1.2375,1.2543
2016-11-11,1.25429,1.26737,1.25239,1.25958
2016-11-14,1.25762,1.2593,1.2443,1.25009
2016-11-15,1.25006,1.25289,1.2379,1.24483
2016-11-16,1.24475,1.25024,1.24087,1.24409
2016-11-17,1.24416,1.25048,1.24065,1.2413
2016-11-18,1.24177,1.24363,1.2299,1.23453
2016-11-21,1.23487,1.2512,1.231,1.24859
2016-11-22,1.24846,1.25137,1.23826,1.24243
2016-11-23,1.24226,1.24687,1.2358,1.24235
2016-11-24,1.24233,1.24946,1.23996,1.24501
2016-11-25,1.24501,1.24853,1.2414,1.2483
2016-11-28,1.24648,1.25326,1.23848,1.24165
2016-11-29,1.24163,1.25257,1.23865,1.24902
2016-11-30,1.24902,1.25233,1.24185,1.25113
2016-12-01,1.25109,1.26958,1.25046,1.25915
2016-12-02,1.25922,1.27372,1.25679,1.27269
2016-12-05,1.26313,1.27449,1.26272,1.27289
2016-12-06,1.273,1.27747,1.2654,1.26794
2016-12-07,1.26797,1.2683,1.2569,1.26252
2016-12-08,1.26252,1.27046,1.2547,1.25763
2016-12-09,1.25763,1.26207,1.25497,1.25749
2016-12-12,1.25905,1.26997,1.2564,1.2676
2016-12-13,1.26809,1.27279,1.2651,1.26578
2016-12-14,1.26578,1.27241,1.2527,1.254
2016-12-15,1.25396,1.25677,1.23744,1.24217
2016-12-16,1.24219,1.251,1.23817,1.24879
2016-12-19,1.24826,1.25028,1.2354,1.23896
2016-12-20,1.23902,1.24085,1.23118,1.23684
2016-12-21,1.23685,1.23905,1.2322,1.23522
2016-12-22,1.2352,1.23782,1.22752,1.22856
2016-12-23,1.2285,1.22986,1.22276,1.22831
2016-12-26,1.22701,1.23032,1.22536,1.2273
2016-12-27,1.2273,1.22871,1.22378,1.227
2016-12-28,1.22692,1.2297,1.21977,1.22211
2016-12-29,1.22211,1.22746,1.2207,1.22573
2016-12-30,1.22555,1.2388,1.2242,1.2346
2017-01-02,1.23414,1.23549,1.227,1.2275
2017-01-03,1.22751,1.23067,1.21988,1.22379
2017-01-04,1.22379,1.23531,1.22189,1.23196
2017-01-05,1.23177,1.24324,1.22686,1.24125
2017-01-06,1.24125,1.24307,1.22589,1.22825
2017-01-09,1.22536,1.2271,1.21236,1.21717
2017-01-10,1.21712,1.21898,1.2104,1.21723
2017-01-11,1.21723,1.2272,1.2037,1.2204
2017-01-12,1.22039,1.2317,1.21496,1.2157
2017-01-13,1.21561,1.22328,1.21205,1.21809
2017-01-16,1.20467,1.20855,1.1986,1.20197
2017-01-17,1.20207,1.24164,1.20198,1.24028
2017-01-18,1.24021,1.24111,1.22501,1.22625
2017-01-19,1.22626,1.23449,1.2251,1.23337
2017-01-20,1.23337,1.23805,1.2259,1.2368
2017-01-23,1.23791,1.25455,1.23732,1.25349
2017-01-24,1.25349,1.25437,1.24169,1.25278
2017-01-25,1.25287,1.26386,1.24897,1.26322
2017-01-26,1.26323,1.26737,1.25556,1.25891
2017-01-27,1.25888,1.26055,1.2515,1.2546
2017-01-30,1.2564,1.26005,1.2464,1.24914
2017-01-31,1.24914,1.25962,1.24109,1.25797
2017-02-01,1.25795,1.26797,1.2542,1.26577
2017-02-02,1.26577,1.2706,1.25152,1.25288
2017-02-03,1.2528,1.25379,1.2455,1.24859
2017-02-06,1.24775,1.24986,1.24253,1.24662
2017-02-07,1.24657,1.25464,1.23447,1.25075
2017-02-08,1.25075,1.25496,1.24723,1.25375
2017-02-09,1.25375,1.25823,1.2488,1.24967
2017-02-10,1.24976,1.25211,1.2438,1.24862
2017-02-13,1.24869,1.25395,1.2477,1.25256
2017-02-14,1.25257,1.25486,1.24427,1.24731
2017-02-15,1.24731,1.2481,1.23822,1.2461
2017-02-16,1.24612,1.25236,1.24529,1.24816
2017-02-17,1.24843,1.2511,1.23863,1.24069
2017-02-20,1.24163,1.24827,1.2406,1.24652
2017-02-21,1.24652,1.2481,1.23993,1.24757
2017-02-22,1.2476,1.25081,1.24192,1.2458
2017-02-23,1.24576,1.25614,1.2425,1.25517
2017-02-24,1.25513,1.25698,1.24463,1.24613
2017-02-27,1.24534,1.24788,1.23822,1.24389
2017-02-28,1.24394,1.24706,1.2369,1.2376
2017-03-01,1.23759,1.24047,1.22787,1.22999
2017-03-02,1.23,1.23078,1.22408,1.22688
2017-03-03,1.22686,1.23,1.2213,1.22895
2017-03-06,1.22882,1.23004,1.2221,1.22399
2017-03-07,1.22395,1.22526,1.21678,1.22052
2017-03-08,1.22052,1.22138,1.2137,1.21682
2017-03-09,1.21679,1.21955,1.21327,1.21519
2017-03-10,1.21528,1.21886,1.21373,1.21619
2017-03-13,1.21628,1.22509,1.2154,1.2212
2017-03-14,1.22126,1.22154,1.21073,1.21524
2017-03-15,1.21523,1.23095,1.21485,1.22901
2017-03-16,1.22907,1.23771,1.2238,1.2355
2017-03-17,1.23557,1.24048,1.2321,1.2394
2017-03-20,1.23865,1.24363,1.2333,1.23583
2017-03-21,1.23583,1.24944,1.23389,1.24767
2017-03-22,1.24772,1.25063,1.24223,1.24741
2017-03-23,1.24741,1.25312,1.246,1.2517
2017-03-24,1.25166,1.25188,1.2462,1.2467
2017-03-27,1.25145,1.26154,1.2504,1.25602
2017-03-28,1.25603,1.25963,1.2439,1.24559
2017-03-29,1.24559,1.24766,1.23745,1.24381
2017-03-30,1.24397,1.25245,1.2402,1.24771
2017-03-31,1.24771,1.25585,1.2432,1.25429
2017-04-03,1.25496,1.25543,1.2464,1.24854
2017-04-04,1.24854,1.24954,1.2417,1.2436
2017-04-05,1.24368,1.24982,1.24213,1.24861
2017-04-06,1.24855,1.25058,1.2449,1.2464
2017-04-07,1.24652,1.24777,1.2363,1.23695
2017-04-10,1.23714,1.24291,1.23633,1.24206
2017-04-11,1.24203,1.24988,1.24017,1.24868
2017-04-12,1.24865,1.25483,1.2477,1.25383
2017-04-13,1.2538,1.25752,1.24979,1.25051
2017-04-14,1.25076,1.25349,1.2498,1.25169
2017-04-17,1.25299,1.25961,1.25245,1.25579
2017-04-18,1.2557,1.29057,1.25126,1.28424
2017-04-19,1.28424,1.28604,1.27678,1.27856
2017-04-20,1.27857,1.28471,1.27698,1.2806
2017-04-21,1.2806,1.28347,1.27549,1.28082
2017-04-24,1.28116,1.28332,1.27705,1.27852
2017-04-25,1.27852,1.28458,1.2772,1.28329
2017-04-26,1.28329,1.28635,1.28028,1.28532
2017-04-27,1.28528,1.29173,1.2839,1.29006
2017-04-28,1.29002,1.29655,1.2885,1.29445
2017-05-01,1.29276,1.29366,1.2877,1.28969
2017-05-02,1.28965,1.29409,1.2861,1.29388
2017-05-03,1.29385,1.29475,1.28598,1.28689
2017-05-04,1.28694,1.29327,1.2829,1.2921
2017-05-05,1.29211,1.2985,1.2898,1.2985
2017-05-08,1.29659,1.29862,1.29272,1.2939
2017-05-09,1.29394,1.29609,1.29009,1.29469
2017-05-10,1.29475,1.29879,1.29252,1.29287
2017-05-11,1.29292,1.29488,1.2847,1.28881
2017-05-12,1.28886,1.28996,1.28426,1.28859
2017-05-15,1.28862,1.29408,1.28788,1.29003
2017-05-16,1.29001,1.29578,1.28647,1.29155
2017-05-17,1.29158,1.29906,1.2904,1.29688
2017-05-18,1.29688,1.30478,1.28867,1.29433
2017-05-19,1.29433,1.30401,1.2939,1.30279
2017-05-22,1.30177,1.30431,1.29627,1.29981
2017-05-23,1.29981,1.30337,1.29505,1.29633
2017-05-24,1.29633,1.29991,1.29243,1.29687
2017-05-25,1.29689,1.30149,1.2929,1.29323
2017-05-26,1.29323,1.29337,1.27737,1.27986
2017-05-29,1.2817,1.28504,1.2807,1.2824
2017-05-30,1.28239,1.28882,1.27886,1.28058
2017-05-31,1.2806,1.2921,1.27683,1.28701
2017-06-01,1.28701,1.29158,1.2828,1.28851
2017-06-02,1.28852,1.29036,1.28434,1.2882
2017-06-05,1.28702,1.29411,1.28577,1.29057
2017-06-06,1.29057,1.29505,1.287,1.29072
2017-06-07,1.29072,1.29694,1.2885,1.29556
2017-06-08,1.29557,1.29778,1.27017,1.28
2017-06-09,1.28008,1.28026,1.26343,1.27379
